id,name,stars,location,num_of_reivews,שירות הזמן שולחן,"פתוח במוצ""ש",בר מסעדה,פתוח בשבת,פתוח בשישי,אזור עישון,Wi-fi,לסילבסטר,מסעדה בטבע,מסעדות על הים,Take Away,מסעדת שף,פתוח בפסח,מסעדה לא כשרה,סילבסטר,נגישות לנכים,קרייזי סאנדיי,ציוד הגברה,מסעדות עם מקרן,חדרי ישיבות,הדרכות/סדנאות,עסק שומר שבת,מסעדה עם חניה מוסדרת,אפשרות ישיבה בחוץ,מסעדות כשרות,מזון מהיר,הופעות חיות,גישה לתחבורה ציבורית,שירותי קייטרינג,חדר פרטי,מסעדה עם חניה חינם,גינה חיצונית,לוקיישן לצילום,מקרן ומסך,אירועים עד 200 איש,מסעדה לאירועים וכנסים,ראש השנה,סוכות,אירועי בוטיק,אירועים קטנים,בר/בת מצווה,ברית/בריתה,חתונות,ימי גיבוש,ימי הולדת,ימי כיף,ימי נישואין,ימי עיון,ישיבות,כנסים,מסיבות חברה,מסיבות עיתונאים,מסיבות רווקים/רווקות,ערבי מחלקה,קוקטייל,תערוכות,תצוגות אופנה,burger club,ברים לאירועים,אוכל מוכן לשבת/ לקחת,מסעדה כשרה למהדרין,משלוחים,הסדרים לעסקים מוסדות ומפעלים,מסעדה כפרית
80345468,BBB הכשר - קריית גת,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80347225,בית הפנקייק המקורי.,,,0,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80022560,דוניאנא,4,,179,,1,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80269491,רשטא,3.5,"(31.79592425, 35.21198075969497)",14,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80348774,מור מיט - MOR MEAT,5,"(33.20076, 35.7779892)",2,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80316964,דגי בטשון - BATSHON,4,"(32.06894, 34.782739)",1,,1,,1,1,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80206812,בני הדייג,4,"(32.4442408, 34.88016615)",19,1,1,,,,,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80195683,לחם בשר - Lehem basar,4,,35,,1,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80351508,המעשנה של יואל,,"(31.8252834, 35.3352109)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4706820,ביג בן - BIG BEN,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80173529,הרברט סמואל,3.5,"(32.16214105, 34.795002387425015)",24,1,,,,,,,,,,,1,,,,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80339486,קיס - KISS,5,,5,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36946190,בארוד - Barood,4,"(31.7810204, 35.2208917)",36,,,1,1,1,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80309995,מלה ביסטרו - Mala Bistro,4.5,,171,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80247577,בלאק - Black,4,,10,1,1,,1,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69267600,אדלינה,,,0,,1,,1,1,,,,,,,1,1,1,,1,,1,,,1,,,1,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
80303523,דוניא,4,"(31.6816019, 34.5574068)",18,,,,,,,,,,,1,,,,,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
80331016,כינור בכיכר,4,,18,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,
80209721,שיטאקי שיטאקי,5,,2,,1,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
80351209,"ביגה  ""לה פארק"" חולון - BiGA",,"(32.015910399999996, 34.78581210180328)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80278284,רובע,4,"(32.085869, 34.774824)",8,1,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
80347851,piano piano,,,0,,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80112418,ג'וזף רימון - Josef Rimon Grill&Wine,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80318975,בי פי מרכז חורב - BP Kosher Bistro,5,,273,,,1,,1,,1,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80344107,מסעדת הגולן,5,"(33.2684288, 35.769371)",3,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80287487,המבשלה,4,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80298781,מינא - MINA,3.5,,3,1,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
