id,name,type,stars,location,num_of_reviews,Take Away,מסעדת שף,פתוח בפסח,מסעדה לא כשרה,אזור עישון,Wi-fi,לסילבסטר,"פתוח במוצ""ש",מסעדה בטבע,מסעדות על הים,נגישות לנכים,פתוח בשבת,פתוח בשישי,שירות הזמן שולחן,בר מסעדה,24 שעות,גישה לתחבורה ציבורית,גינה חיצונית,קרייזי סאנדיי,מסעדה עם חניה מוסדרת,חדר פרטי,אירועים עד 20 איש,מסעדות כשרות,מזון מהיר,ציוד הגברה,מסעדות עם מקרן,לוקיישן לצילום,פאב אירי,ספורט בר,בר/פאב שכונתי
80269491,רשטא,מסעדת בשרים,3.5,"(31.79592425, 35.21198075969497)",15,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
80022560,דוניאנא,מסעדה ים תיכונית,4,,179,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
80316964,דגי בטשון - BATSHON,מסעדת דגים,4,"(32.06894, 34.782739)",1,1,,,,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,
80345468,BBB הכשר - קריית גת,מסעדת המבורגרים,,,0,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,
80345477,ג'וד - Joud,מסעדת בשרים,5,,2,,,,1,,,1,1,,,,1,,1,,1,,,,,,,,,,,,,,
80115399,פיש  - FISH,מסעדת דגים,4.5,"(31.99226475, 34.747960400539604)",137,,1,,,,,1,1,,,,,,1,,,1,1,,,,,,,,,,,,
80206812,בני הדייג,מסעדת דגים,4,"(32.4442408, 34.88016615)",19,1,,,,,,1,1,,1,,,,1,,,,,1,,,,,,,,,,,
80347225,בית הפנקייק המקורי.,מסעדה אמריקאית,,,0,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,
80348774,מור מיט - MOR MEAT,מסעדה דרוזית,5,"(33.20076, 35.7779892)",2,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,
80248004,אימפריאל רד - Imperial Red,פאב-בר,,"(31.8100172, 35.1203388)",0,,,,,,1,,,,,1,1,,,1,,,,,1,1,,,,,,,,,
80338578,בית מלצ'ט - קפה ומעדניה,ביסטרו,,"(32.2483582, 34.9102378)",0,,,,,,,,,,,,,1,,1,,,,,,,1,1,,,,,,,
80280571,פיקולו - piccolo,מסעדת בשרים,,,0,,,,,,,,1,,,,,1,,,,,,,,,,1,1,,,,,,
80079066,קרלה ברוני - Carla Bruni,פאב-בר,4,"(32.0077054, 34.80060304320986)",2,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,
80332653,BIRATENU,פאב-בר,,"(31.7802827, 35.2164821)",0,,,,,,,,1,,,,,1,1,1,,,,,,,,1,,,,,,,1
80246538,סעידה בפארק,פאב-בר,3.5,,6,,,,,1,1,,,,,,1,1,,,,,,,,,,,,1,1,,,,
