id,name,type,stars,location,num_of_reviews,Take Away,מסעדת שף,פתוח בפסח,מסעדה לא כשרה,קרייזי סאנדיי,שירות הזמן שולחן,לסילבסטר,"פתוח במוצ""ש",מסעדות על הים,אזור עישון,Wi-fi,מסעדה בטבע,בר מסעדה,גישה לתחבורה ציבורית,גינה חיצונית,פתוח בשבת,24 שעות,פתוח בשישי,נגישות לנכים,משלוחים,מזון מהיר,אוכל מוכן לשבת/ לקחת,מסעדות כשרות,dog friendly,לוקיישן לצילום,מסעדה עם חניה מוסדרת,חדר פרטי
80269491,רשטא,מסעדת בשרים,3.5,"(31.79592425, 35.21198075969497)",15,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
80206812,בני הדייג,מסעדת דגים,4,"(32.4442408, 34.88016615)",19,1,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
80022560,דוניאנא,מסעדה ים תיכונית,4,,179,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,
80345468,BBB הכשר - קריית גת,מסעדת המבורגרים,,,0,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,
80115399,פיש  - FISH,מסעדת דגים,4.5,"(31.99226475, 34.747960400539604)",137,,1,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,
80345477,ג'וד - Joud,מסעדת בשרים,5,,2,,,,1,,1,1,1,,,,,,,,1,1,,,,,,,,,,
80348774,מור מיט - MOR MEAT,מסעדה דרוזית,5,"(33.20076, 35.7779892)",2,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,
80316964,דגי בטשון - BATSHON,מסעדת דגים,4,"(32.06894, 34.782739)",1,1,,,,,,1,1,,,,,,,,1,,1,1,,,,,,,,
80347225,בית הפנקייק המקורי.,מסעדה אמריקאית,,,0,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,
80292672,שגב קיטשן גארדן,מסעדת בשרים,4,,16,,1,,,,1,1,1,,,,,,,,,,,1,1,,,,,,,
80320411,FAI MAI,מסעדת המבורגרים,,,0,,,,,,1,,1,,,,,,,,1,,1,,,1,,,,,,
80352889,פיתה רחוב,אוכל רחוב,,"(32.0916633, 34.856881)",0,1,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,
80054273,גוסטו  - Gusto,מסעדה איטלקית,4,"(32.0793622, 34.7797523)",114,,,,,1,,1,1,,,,,1,,,,,,,,,,,1,1,,
5425890,קפה רימון ירושלים - rimon,בית קפה,3,,22,1,,,,,,,1,,,,,,,,,,1,1,,,,,,,1,1
80335345,נונו ומימי - NONO,מסעדה איטלקית,,,0,1,,,,,,1,1,,,1,,1,,,,,,,1,,,,,,,
