id,name,type,stars,location,num_of_reviews,"פתוח במוצ""ש",פתוח בשבת,פתוח בשישי,אזור עישון,Wi-fi,לסילבסטר,מסעדה בטבע,מסעדות על הים,שירות הזמן שולחן,בר מסעדה,Take Away,מסעדת שף,פתוח בפסח,מסעדה לא כשרה,24 שעות,קרייזי סאנדיי,נגישות לנכים,גישה לתחבורה ציבורית,גינה חיצונית,מקום לאירועים,אירועים עד 100 איש,מסעדה כשרה למהדרין,מסעדות כשרות,אוכל מוכן לשבת/ לקחת,מזון מהיר,מסעדה עם חניה חינם,אפשרות ישיבה בחוץ,אירועים קטנים,אירועים עד 30 איש,מסעדה עם חניה מוסדרת,ציוד הגברה,מסעדות עם מקרן,לוקיישן לצילום,חדרי ישיבות
80348774,מור מיט - MOR MEAT,מסעדה דרוזית,5,"(33.20076, 35.7779892)",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80022560,דוניאנא,מסעדה ים תיכונית,4,0,179,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80269491,רשטא,מסעדת בשרים,3.5,"(31.79592425, 35.21198075969497)",15,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80345477,ג'וד - Joud,מסעדת בשרים,5,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80206812,בני הדייג,מסעדת דגים,4,"(32.4442408, 34.88016615)",19,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80316964,דגי בטשון - BATSHON,מסעדת דגים,4,"(32.06894, 34.782739)",1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80115399,פיש  - FISH,מסעדת דגים,4.5,"(31.99226475, 34.747960400539604)",137,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80341875,קרייזי צ'יקן,מסעדה אמריקאית,5,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
80223988,בורגרים - Burgerim,מסעדת המבורגרים,5,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
80234050,ביגה - BiGA,בית קפה,3,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
80303048,סין צ'אן,מסעדה סינית,4,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
80322529,איזבלה,מסעדה איטלקית,4,0,203,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
