id,name,type,stars,location,num_of_reviews,Take Away,נגישות לנכים,לסילבסטר,"פתוח במוצ""ש",פתוח בשבת,פתוח בשישי,גישה לתחבורה ציבורית,גינה חיצונית,שירות הזמן שולחן,מסעדת שף,בר מסעדה,אזור עישון,Wi-fi,מסעדה בטבע,מסעדות על הים,פתוח בפסח,מסעדה לא כשרה,24 שעות,קרייזי סאנדיי,ציוד הגברה,מסעדות עם מקרן,מלונות ובתי הארחה,מזון מהיר,פאב אירי,ספורט בר,אוכל מוכן לשבת/ לקחת,ימי נישואין,ימי הולדת,אירועים קטנים,מסעדות כשרות,score,score_normalized 
80316964,דגי בטשון - BATSHON,מסעדת דגים,4,"(32.06894, 34.782739)",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0.0
80115399,פיש  - FISH,מסעדת דגים,4.5,"(31.99226475, 34.747960400539604)",137,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.332545899087515,0.922690999336842
80022560,דוניאנא,מסעדה ים תיכונית,4,0,179,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8535027218206204,0.7298883914877182
80269491,רשטא,מסעדת בשרים,3.5,"(31.79592425, 35.21198075969497)",15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.993930176095564,0.38393246034006046
80345477,ג'וד - Joud,מסעדת בשרים,5,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.614070708874367,0.6335231394827128
80206812,בני הדייג,מסעדת דגים,4,"(32.4442408, 34.88016615)",19,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.550345161613699,0.6078752390814007
80348774,מור מיט - MOR MEAT,מסעדה דרוזית,5,"(33.20076, 35.7779892)",2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.614070708874367,0.6335231394827128
80203709,ניסו הדייג,מסעדת דגים,4,"(31.68305, 34.558381)",13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3.4563938076992753,0.5700622257555377
80320370,פטריקס - PATRICK'S,פאב-בר,5,"(31.3631166, 34.8095334)",17,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4.524630174928787,1.0
80320439,מסרקיוי מסעדה אתיופית,מסעדה אתיופית,5,"(32.062444, 34.781327)",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.123461352820082,0.838539825300076
