id,name,type,stars,location,num_of_reviews,Take Away,נגישות לנכים,לסילבסטר,"פתוח במוצ""ש",פתוח בשבת,פתוח בשישי,שירות הזמן שולחן,24 שעות,מסעדה לא כשרה,גישה לתחבורה ציבורית,גינה חיצונית,מסעדת שף,פתוח בפסח,בר מסעדה,אזור עישון,Wi-fi,מסעדה בטבע,מסעדות על הים,קרייזי סאנדיי,מסעדות כשרות,משלוחים,מזון מהיר,ציוד הגברה,מסעדות עם מקרן,מלונות ובתי הארחה
80316964,דגי בטשון - BATSHON,מסעדת דגים,4,"(32.06894, 34.782739)",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80345477,ג'וד - Joud,מסעדת בשרים,5,0,2,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80348774,מור מיט - MOR MEAT,מסעדה דרוזית,5,"(33.20076, 35.7779892)",2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80115399,פיש  - FISH,מסעדת דגים,4.5,"(31.99226475, 34.747960400539604)",137,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80269491,רשטא,מסעדת בשרים,3.5,"(31.79592425, 35.21198075969497)",15,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80022560,דוניאנא,מסעדה ים תיכונית,4,0,179,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
80206812,בני הדייג,מסעדת דגים,4,"(32.4442408, 34.88016615)",19,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
80263162,ביגה - BiGA,בית קפה,5,0,66,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80317226,אמש - EMESH,מסעדה ים תיכונית,4.5,"(32.062118, 34.770808)",5,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
80302768,אוסישקין- Art food,בית קפה,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80131868,מסעדת O2,מסעדת בשרים,5,"(31.7707875, 35.2153587)",4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
