id,name,type,type_numeric,stars,location,num_of_reviews,Take Away,מסעדת שף,פתוח בפסח,מסעדה לא כשרה,"פתוח במוצ""ש",פתוח בשבת,פתוח בשישי,שירות הזמן שולחן,בר מסעדה,אזור עישון,Wi-fi,לסילבסטר,מסעדה בטבע,מסעדות על הים,גישה לתחבורה ציבורית,גינה חיצונית,24 שעות,קרייזי סאנדיי,נגישות לנכים,בר-סלט,שירותי קייטרינג,מסעדה עם חניה מוסדרת,מזון מהיר,score,score_normalized 
80269491,רשטא,מסעדת בשרים,5,3.5,"(31.79592425, 35.21198075969497)",15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.993930176095564,0.44765371159348066
80022560,דוניאנא,מסעדה ים תיכונית,4,4,0,179,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3.8535027218206204,0.8023348176738645
80348774,מור מיט - MOR MEAT,מסעדה דרוזית,3,5,"(33.20076, 35.7779892)",2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.614070708874367,0.7035391876770997
80115399,פיש  - FISH,מסעדת דגים,6,4.5,"(31.99226475, 34.747960400539604)",137,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,4.332545899087515,1.0
80345477,ג'וד - Joud,מסעדת בשרים,5,5,0,2,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.614070708874367,0.7035391876770997
80206812,בני הדייג,מסעדת דגים,6,4,"(32.4442408, 34.88016615)",19,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3.550345161613699,0.6772444348951498
80316964,דגי בטשון - BATSHON,מסעדת דגים,6,4,"(32.06894, 34.782739)",1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.04,0.05403828999385679
80176056,פארוק בשוק,ביסטרו,0,2.5,"(32.0524528, 34.7558485)",11,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.9090377646275833,0.0
80334583,נישו,בית קפה,1,5,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.259189632901915,0.9697313719964272
80237909,בר 55,פאב-בר,7,4,"(32.1666204, 34.9281644)",9,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3466666666666667,0.5932015996139631
80334922,פאט ויני Fat  Vinny - עזריאלי חיפה,מסעדה איטלקית,2,3.5,0,3,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.368393472388333,0.1895416405784481
